Test Description,Size,Method,Iteration,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,4,10.0,5.0,15.99603271484375,6.45269775390625,2.6213531494140625,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,5,12.0,6.0,15.99603271484375,6.45269775390625,2.6213531494140625,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,6,10.0,5.0,15.99603271484375,6.45269775390625,2.6213531494140625,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,7,10.0,5.0,15.99603271484375,6.45269775390625,2.6213531494140625,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,8,10.0,5.0,15.99603271484375,6.45269775390625,2.6213531494140625,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,9,10.0,5.0,15.99603271484375,6.45269775390625,2.6213531494140625,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,10,10.0,5.0,15.99603271484375,6.45269775390625,2.6213531494140625,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,1,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,2,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,3,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,4,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,5,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,6,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,7,12.0,6.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,8,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,9,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,10,10.0,5.0,16.371231079101562,6.265777587890625,2.6526641845703125,10
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,1,24.0,14.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,2,21.0,13.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,3,21.0,12.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,4,21.0,13.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,5,21.0,12.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,6,21.0,12.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,7,21.0,12.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,8,20.0,12.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,9,21.0,12.0,32.62445831298828,20.737762451171875,8.064903259277344,20
