Test Description,Size,Method,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Queue enqueue operations,2^13,enqueueHMQueue,3,0,1.1211,0.0035019,0.034821,6
DPS interface for compact regions/Queue enqueue operations,2^16,enqueueEffQueueDps,16.4,2,26.625,0.97621,4.0979,14
DPS interface for compact regions/Queue enqueue operations,2^16,enqueueEffQueueFun,5.6,1,6.6226,0.81239,0.034821,7
DPS interface for compact regions/Queue enqueue operations,2^16,enqueueHMQueue,10.2,5,8.1213,3.7623,2.5335,10
DPS interface for compact regions/Queue enqueue operations,2^19,enqueueEffQueueDps,144.5,56.3,212.84,44.963,46.649,80
DPS interface for compact regions/Queue enqueue operations,2^19,enqueueEffQueueFun,84.5,71.4,52.123,84.019,17.058,45
DPS interface for compact regions/Queue enqueue operations,2^19,enqueueHMQueue,128.6,109.7,64.122,122.39,19.901,55
DPS interface for compact regions/Queue enqueue operations,2^22,enqueueEffQueueDps,898.4,434.2,1702.8,550.76,404.25,592
DPS interface for compact regions/Queue enqueue operations,2^22,enqueueEffQueueFun,650,586.8,416.12,1146.2,108.65,270
DPS interface for compact regions/Queue enqueue operations,2^22,enqueueHMQueue,1117.2,1008.3,512.12,1539.1,160.03,433
DPS interface for compact regions/Queue enqueue operations,2^25,enqueueEffQueueDps,8231.7,4077,13623,4688.4,3236,4747
DPS interface for compact regions/Queue enqueue operations,2^25,enqueueEffQueueFun,6683.7,6139.1,3328.1,10630,866.48,2142
DPS interface for compact regions/Queue enqueue operations,2^25,enqueueHMQueue,9298.7,8481.9,4096.1,13902,1280,3511
DPS interface for compact regions/S-expression parser,2^10,parseSExpr.copyCR,2,0,0.26395,0.0040359,0.043182,6
DPS interface for compact regions/S-expression parser,2^10,parseSExpr.force,2,0,0.20125,0.0040359,0.043182,6
DPS interface for compact regions/S-expression parser,2^10,parseSExprDps,2,0,0.24825,0.0040359,0.043182,6
DPS interface for compact regions/S-expression parser,2^13,parseSExpr.copyCR,2,0,0.86378,0.0040359,0.043182,6
DPS interface for compact regions/S-expression parser,2^13,parseSExpr.force,2,0,0.55109,0.0040359,0.043182,6
DPS interface for compact regions/S-expression parser,2^13,parseSExprDps,2,0,0.74213,0.0040359,0.043182,6
DPS interface for compact regions/S-expression parser,2^16,parseSExpr.copyCR,5,0,5.5723,0.0040359,0.043182,8
